analysis,x,time,estimate,lcl,ucl,natrisk
Survival,1,0.2497975966,0.9974645551,0.9969591994,0.9978979404,
Survival,1,0.2516097649,0.9974389272,0.9969308656,0.9978749463,
Survival,1,0.2518640652,0.9974132927,0.99690254,0.9978519326,
Survival,1,0.2559777294,0.9973875536,0.9968741022,0.9978288202,
Survival,1,0.2567908221,0.9973617947,0.9968456559,0.9978056776,
Survival,1,0.257268186,0.997336021,0.9968172073,0.9977825093,
Survival,1,0.2599164584,0.997310178,0.9967886893,0.9977592709,
Survival,1,0.261348793,0.9972843034,0.9967601483,0.9977359932,
Survival,1,0.2618832533,0.9972584174,0.9967316084,0.9977126929,
Survival,1,0.2623540699,0.9972325267,0.9967030778,0.9976893754,
Survival,1,0.2623692199,0.9972066346,0.9966745602,0.9976660438,
Survival,1,0.2647000926,0.9971806941,0.9966459981,0.9976426597,
Survival,1,0.2672747269,0.997154698,0.996617383,0.9976192176,
Survival,1,0.2680236929,0.9971286769,0.9965887517,0.9975957423,
Survival,1,0.2712660258,0.99710257,0.9965600302,0.9975721843,
Survival,1,0.2718025574,0.9970764514,0.9965313087,0.9975486043,
Survival,1,0.2725098924,0.9970503116,0.9965025753,0.9975249946,
Survival,1,0.2748203705,0.9970240997,0.9964737682,0.9975013135,
Survival,1,0.2784672628,0.9969978034,0.9964448726,0.9974775512,
Survival,1,0.279160723,0.99697148,0.9964159578,0.9974537546,
Survival,1,0.2799417599,0.9969451351,0.9963870305,0.9974299282,
Survival,1,0.2811015958,0.9969187588,0.9963580786,0.9974060643,
Survival,1,0.2822132223,0.9968923433,0.9963290925,0.9973821564,
Survival,1,0.283825651,0.9968658774,0.9963000587,0.9973581953,
Survival,1,0.284821911,0.9968393756,0.9962709945,0.9973341932,
Survival,1,0.2884602888,0.9968127634,0.9962418101,0.9973100887,
Survival,1,0.2986413246,0.9967858596,0.9962122868,0.9972857329,
Survival,1,0.3019261364,0.9967588603,0.9961826616,0.9972612868,
Survival,1,0.3027436937,0.9967318376,0.9961530215,0.9972368096,
Survival,1,0.3031255139,0.9967048069,0.9961233848,0.9972123141,
Survival,1,0.3045732709,0.9966777394,0.996093717,0.9971877769,
Survival,1,0.307862846,0.9966505835,0.9960639555,0.9971631553,
Survival,1,0.3179821465,0.9966231336,0.9960338529,0.9971382802,
Survival,1,0.3190184509,0.9965956527,0.9960037262,0.9971133678,
Survival,1,0.3203763823,0.9965681315,0.9959735642,0.9970884106,
Survival,1,0.3280795992,0.9965403951,0.9959431562,0.9970632646,
Survival,1,0.3296774801,0.9965126155,0.9959127094,0.9970380711,
Survival,1,0.3300143097,0.996484828,0.9958822665,0.9970128597,
Survival,1,0.332226252,0.9964569691,0.9958517506,0.9969875779,
Survival,1,0.3333075465,0.9964290892,0.9958212225,0.9969622672,
Survival,1,0.3340823447,0.996401189,0.9957906829,0.9969369285,
Survival,1,0.3369551345,0.9963732104,0.9957600619,0.9969115139,
Survival,1,0.3454310334,0.9963449853,0.9957291577,0.9968858844,
Survival,1,0.3524986247,0.9963165589,0.9956980246,0.9968600771,
Survival,1,0.3534809224,0.9962881074,0.9956668746,0.9968342376,
Survival,1,0.3542663525,0.9962596347,0.9956357121,0.9968083692,
Survival,1,0.3555104247,0.9962311286,0.9956045226,0.9967824619,
Survival,1,0.355826372,0.9962026135,0.995573335,0.996756536,
Survival,1,0.3581537881,0.9961740256,0.9955420729,0.9967305386,
Survival,1,0.3641817814,0.9961452768,0.9955106306,0.996704397,
Survival,1,0.3674661936,0.9961164398,0.9954790954,0.9966781712,
Survival,1,0.3729415277,0.9960874475,0.9954473869,0.9966518056,
Survival,1,0.3770458754,0.9960583281,0.9954155389,0.9966253235,
Survival,1,0.3835684547,0.9960290064,0.9953834615,0.9965986626,
Survival,1,0.389319832,0.9959995207,0.9953512005,0.9965718546,
Survival,1,0.3923134114,0.9959699421,0.9953188415,0.9965449582,
Survival,1,0.3952898812,0.9959402789,0.9952863944,0.9965179804,
Survival,1,0.3953166568,0.9959106158,0.9952539605,0.9964909912,
Survival,1,0.3959943651,0.995880927,0.9952215089,0.9964639694,
